feature,gain,split
score_hat,41895958.2931366,706
true_score_lag_13,19194834.454460144,2967
prec_clip_sum_28d_anom_rmonth,14091624.167266846,1498
region_idx,9732867.066680908,20866
score_hat_lag_0,4955885.777206421,91
water_balance_mean_91d_z_rmonth,4576332.219238281,1950
prec_clip_sum_91d_anom_rmonth,4388810.661453247,1470
prec_clip_sum_28d_z_rmonth,4207204.363845825,608
score_hat_max_4,3428338.6077575684,660
last_known_train_score,3254798.2792663574,480
water_balance_mean_91d_anom_rmonth,2948290.501525879,1304
stress_ewm_h7d,2108089.551727295,1112
prec_clip_sum_91d_z_rmonth,1823066.163909912,959
day_idx,1669756.2422027588,2844
score_hat_mean_4,1626119.3906097412,283
score_hat_lag_1,1398356.4941864014,290
vpd_mean_28d,1271897.7737884521,463
stress_daily_mean_91d_z_rmonth,1200035.7053375244,969
true_score_mean_lag13_26,808709.7219696045,975
vpd_max_28d,508351.1363067627,198
prec_clip_mean_56d,505147.89778137207,387
prec_clip_sum_28d,478087.9009857178,545
prec_clip_sum_56d,475752.12451171875,470
stress_ewm_h90d,444050.9455566406,353
water_balance_mean_28d,401641.9888763428,335
doy,374530.96977233887,590
stress_daily_mean_28d,330883.53701782227,291
prec_clip_sum_91d,321586.4037628174,255
doy_sin,320074.49797058105,552
vpd_std_28d,281364.96936035156,173
week_idx,262131.17304992676,482
stress_daily_mean_91d_anom_rmonth,241099.40281677246,316
year,213324.0417175293,291
stress_daily_mean_14d,199153.8868408203,200
score_hat_max_13,198193.31819152832,203
doy_cos,196776.2211303711,453
prec_clip_mean_28d,191275.18031311035,210
true_score_mean_lag13_52,186583.8317718506,351
humidity_std_91d,183091.12336730957,352
tmp_min_mean_91d,180294.6337890625,199
true_score_hist_zero_rate_lag13,176940.9126739502,237
water_balance_mean_56d,170564.2377319336,198
water_balance_28_minus_91,169937.4860687256,260
tmp_std_91d,154972.1750640869,265
stress_ewm_h30d,148317.71737670898,124
tmp_max_mean_28d,143450.41749572754,129
prec_clip_std_56d,138074.3365020752,189
prec_clip_std_91d,130979.75592041016,165
vpd_mean_7d,130186.09809875488,103
prec_clip_mean_91d,121326.24153137207,116
stress_daily_mean_56d,121223.69706726074,177
humidity_min_91d,119427.72917175293,237
score_hat_last_minus_mean_13,116164.93188476562,267
is_wet_day_5mm_sum_91d,113097.51786804199,185
tmp_mean_28_minus_91,109877.1870880127,244
humidity_mean_91d,108323.85871887207,171
score_hat_mean_13,108113.05130004883,203
prec_sum_28_vs_91,107428.01820373535,189
humidity_deficit_mean_91d,99441.71011352539,141
is_wet_day_1mm_sum_91d,99266.05844116211,78
surf_pre_mean_91d,96053.83599853516,170
vpd_mean_14d,93354.95643615723,96
water_balance_std_91d,83868.33416748047,118
score_hat_max_8,83295.81538391113,109
true_score_hist_mean_lag13,81864.89399719238,183
prec_clip_max_91d,74652.251953125,130
wind_mean_28d,73952.05531311035,121
tmp_range_mean_56d,72314.35568237305,75
true_score_lag_104,68868.81089782715,201
wind_max_mean_91d,60027.44140625,95
score_hat_slope_4,59262.86911010742,122
true_score_hist_severe_rate_lag13,58752.871978759766,157
score_hat_mean_8,57379.658920288086,120
endpoint_seq,56115.76023864746,78
score_hat_lag_12,54645.96701049805,105
wind_max_max_91d,53293.60688781738,92
surf_pre_mean_56d,52071.43309020996,108
tmp_max_max_91d,52035.558044433594,113
is_wet_day_1mm_sum_56d,51248.61413574219,86
tmp_mean_28d,51159.324142456055,71
tmp_mean_28d_anom_rmonth,50788.35202789307,183
wind_std_28d,50539.76991271973,105
tmp_range_mean_91d,45334.234771728516,58
is_dry_day_sum_91d,44131.913330078125,56
tmp_min_mean_28d,42425.26612854004,89
stress_28_minus_91,40924.89877319336,55
score_hat_lag_3,40713.12707519531,91
week_of_year,40665.15281677246,75
humidity_min_28d,40194.89692687988,96
stress_daily_mean_91d,40174.63185119629,72
prec_clip_max_56d,38496.23498535156,76
true_score_lag_52,37895.26985168457,76
wind_std_91d,37543.31782531738,88
water_balance_std_28d,37267.25819396973,52
