feature,gain,split
true_score_lag_13,775941.7454147339,345
prec_clip_sum_91d_anom_rmonth,271422.86362457275,143
region_idx,215640.83644104004,948
water_balance_mean_91d_z_rmonth,177828.09439849854,96
water_balance_mean_91d_anom_rmonth,177587.03147888184,177
last_known_train_score,159757.12230682373,70
prec_clip_sum_91d,107858.19989013672,82
water_balance_std_91d,62477.61917877197,50
day_idx,61921.48642730713,387
prec_clip_sum_91d_z_rmonth,50138.97351074219,58
prec_clip_mean_91d,48246.5238571167,43
true_score_mean_lag13_26,45356.79984283447,94
stress_ewm_h90d,41632.810607910156,68
stress_daily_mean_91d_anom_rmonth,33961.25244140625,57
prec_clip_std_91d,19519.22003173828,36
water_balance_mean_28d,18503.157707214355,61
prec_clip_sum_28d_anom_rmonth,16848.034202575684,71
true_score_mean_lag13_52,15682.063934326172,86
week_idx,15002.857925415039,83
true_score_hist_severe_rate_lag13,14535.108207702637,91
true_score_hist_mean_lag13,13301.917503356934,78
prec_clip_sum_56d,12170.309761047363,48
score_hat_max_13,11186.819778442383,49
water_balance_mean_56d,10620.433059692383,23
humidity_deficit_mean_91d,9568.5638961792,49
tmp_range_mean_91d,9226.74486541748,44
humidity_min_91d,9108.935844421387,66
true_score_lag_104,9104.737174987793,52
water_balance_mean_91d,8425.17961883545,28
prec_clip_std_56d,7937.767486572266,26
doy_sin,7921.188095092773,50
score_hat_max_8,7394.340721130371,37
humidity_mean_91d,7165.288635253906,38
water_balance_28_minus_91,7039.978965759277,37
year,6990.650634765625,25
score_hat_last_minus_mean_13,6086.424102783203,48
endpoint_seq,5792.604019165039,30
true_score_hist_zero_rate_lag13,5333.252403259277,37
score_hat_lag_12,4951.0903396606445,35
doy,4758.048301696777,32
prec_clip_max_91d,4682.490982055664,25
score_hat_slope_4,4676.1300048828125,34
prec_clip_mean_56d,4444.264106750488,21
is_heavy_precip_sum_91d,4018.644744873047,16
month_cos,3984.30322265625,25
vpd_mean_28d_z_rmonth,3929.7902908325195,18
doy_cos,3824.869483947754,29
tmp_range_mean_56d,3593.773696899414,23
humidity_mean_28d_z_rmonth,3465.909019470215,24
score_hat_mean_13,3407.8240814208984,24
